role,company_name,hiring_badge,location,duration,stipend_perMonth
Travel Consultant,Nitsa Holidays,Not hiring,"Delhi, Surat, Kalyan, Noida",3 Months," 10,000 "
Fashion Design,Sheqe Apparels,Not hiring,Noida,2 Months," 5,000 "
Digital Marketing,Antraweb Technologies Private Limited,Not hiring,Mumbai,3 Months," 8,000 "
Python Development,"Lotus AI (Los Angeles, United States)",Actively hiring,Work from home,3 Months," 8,000-1,00,000 "
Graphic Design,Orchid Montessori House,Not hiring,Work from home,3 Months," 2,000 "
Business Development (Sales),Pinacle Web India,Not hiring,"Thane, Navi Mumbai, Mumbai, Vashi",3 Months," 3,000  +  Incentives"
Full Stack Development (Headless CMS Strapi),Yoliday LLP,Not hiring,Work from home,6 Months," 10,000 "
Digital Marketing,SSM Fashion,Not hiring,Work from home,6 Months," 2,000 "
Copywriting,Credilio Financial Technologies Private Limited,Not hiring,Mumbai,3 Months," 12,000 "
E-Commerce Management,Houseof Owlet,Not hiring,Gurgaon,3 Months," 8,000 "
Graphic Design,Attally Sofper,Not hiring,Work from home,3 Months," 5,000 "
Videography,CreativeBlend Media,Not hiring,Work from home,2 Months," 4,000 "
Graphic Design,The Social Lit,Not hiring,Work from home,2 Months," 8,000 "
Video Editing (Reels),WhaSeLiya,Not hiring,Work from home,2 Months," 2,000 "
Packaging Engineer,PMS INDIA,Not hiring,Chennai,6 Months," 15,000 "
Site Engineering (Civil),VISVA INFRATECH,Not hiring,Work from home,2 Months," 9,000 "
Digital Marketing,Bombay Management Association,Not hiring,Mumbai,6 Months," 7,500-15,000 "
Social Media Marketing,Coders Boutique,Not hiring,Work from home,3 Months," 2,000-5,000 "
Digital Marketing,Intellyze Labs,Not hiring,Kakkanad,6 Months," 2,000 "
HR Consultant,A21ai,Not hiring,Delhi,2 Months," 10,000 "
Marketing-Gaming,MB Softech Consultants,Not hiring,Work from home,1 Month," 7,500 "
Human Resources (HR),Siana International,Not hiring,Pune,3 Months," 5,000 "
Social Media Marketing,Marketing Boutqiue,Not hiring,Work from home,3 Months," 2,000-5,000 "
Campus Ambassador,One% Dating Club,Not hiring,Work from home,3 Months,Performance Based
Virtual Assistant For Digital Marketing Agency Founder,Bizzaro,Not hiring,Work from home,6 Months," 10,000 "
Web Development,Adivasi Yuva Seva Sangh,Not hiring,Work from home,1 Month,Unpaid
Founders Office,Change Engine,Not hiring,"Delhi, Gurgaon, Noida                                                            (Hybrid)",3 Months," 15,000-20,000 "
Angular.js Development,CodeMasters Studio,Not hiring,Work from home,3 Months," 5,000 "
Data Entry,Bonn Tonn,Actively hiring,Kolkata,3 Months," 8,000 "
Digital Marketing,Point Vision,Not hiring,Bangalore                                                            (Hybrid),3 Months," 2,000 "
Photography,NITCO TILES,Not hiring,"Delhi, Patiala                                                            (Hybrid)",2 Months," 8,000-15,000 "
React Native Developer(Fresher),Silversky Technology,Not hiring,Ahmedabad,6 Months," 10,000-12,000 "
Business Development (Sales),Monospace Marketing,Not hiring,Work from home,3 Months," 1,000  +  Incentives"
"CA, ACCA, CMA",Tanuj Agrawal And Company,Not hiring,Jaipur,3 Months," 5,000 "
Web Development,ADM EDUCATION & WELFARE SOCIETY,Actively hiring,Work from home,3 Months,Unpaid
Video Editing/Making,Shivam Kumar,Not hiring,Work from home,2 Months," 1,000 /week +  Incentives"
Business Development (Sales),Cats Edutech Private Limited,Not hiring,Nagpur,6 Months," 10,000 "
Content Writing,The Vision Foundation,Not hiring,Delhi                                                            (Hybrid),3 Months,Unpaid
Digital Marketing,CraveDigi Advisors OPC Pvt. Ltd.,Actively hiring,Work from home,1 Month," 1,000 /week +  Incentives"
Media In Filmmaking,Green Earth Pictures,Not hiring,Mumbai                                                            (Hybrid),1 Month," 2,500-3,000 "
Subject Matter Expert (SME),LearnAsYouGo Private Limited,Actively hiring,Work from home,3 Months," 5,000-10,000 "
REAL TIME DOUBT SOLVER (PCMB),LearnAsYouGo Private Limited,Actively hiring,Work from home,3 Months," 5,000-10,000 "
Marketing And Event Coordinator,Shiv Nadar School,Not hiring,Gurgaon,3 Months," 15,000-20,000 "
E-Commerce Catalog Management,Woodzon,Not hiring,Bangalore,3 Months," 15,000 "
Business Research,Amit S,Not hiring,Pune                                                            (Hybrid),2 Months," 8,000-10,000 "
Backend Developer (Golang),Factly Media & Research,Actively hiring,Work from home,6 Months," 15,000 "
Reactjs Development,Factly Media & Research,Actively hiring,Work from home,6 Months," 15,000 "
Backend Developer (Rust Programming),Factly Media & Research,Actively hiring,Work from home,6 Months," 15,000 "
Product Management,"EmendoAI (San Francisco, United States)",Actively hiring,Work from home,6 Months," 15,000 "
Social Work,Paulson Education,Not hiring,"Chennai, Keralapuram, Keralassery, Tamil Nadu",6 Months," 2,000  +  Incentives"
"Commerce, Accounting & Finance - Content Writing",Earth5R,Actively hiring,Work from home,1 Month,Unpaid
Content Writing,"Halo (Dubai, United Arab Emirates)",Actively hiring,Work from home,6 Months," 10,000-15,000 "
Business Development (Sales),HIGHCLOUDS STEM TECHNOLOGIES PVT. LTD.,Not hiring,Greater Noida,3 Months," 8,000  +  Incentives"
Web Design - Content Writing,Earth5R,Actively hiring,Work from home,1 Month,Unpaid
Full Stack Development,Accredian,Actively hiring,Work from home,6 Months," 15,000 "
Business Development (Sales),Cannibals Media Pvt. Ltd.,Actively hiring,Work from home,1 Month," 5,000  +  Incentives"
Social Entrepreneurship (S),Pawzz,Actively hiring,Work from home,3 Weeks," 1,500-10,000 "
Business Development (Sales),Pawzz,Actively hiring,Work from home,2 Weeks," 1,500-5,000 "
Marketing (Youth Connective),Pawzz,Actively hiring,Work from home,3 Weeks," 1,500-10,000 "
Teaching,Scienceplace,Not hiring,Delhi,6 Months," 10,000 /week +  Incentives"
Video Editing/Making,Social Siyappa,Not hiring,Work from home,6 Months," 5,000 "
Android App Development,Atharva Lohiya,Actively hiring,Work from home,6 Months," 10,000-15,000 "
Marketing,The Konsol,Not hiring,Pune                                                            (Hybrid),3 Months," 2,000-4,000 "
Photography,Hustle,Not hiring,Bangalore,3 Months," 5,000-7,000 "
Full Stack Development,Platform Integration Software Technologies LLP,Not hiring,Amritsar                                                            (Hybrid),3 Months," 8,000-12,000 "
Video Editing/Making,Artha,Not hiring,Work from home,1 Month," 2,000-10,000 "
Digital Marketing,Gymforce Technologies Llp,Not hiring,Work from home,2 Months," 1,000 "
Search Engine Optimization (SEO),Elegant Systems Pvt Ltd,Not hiring,Work from home,6 Months," 5,000 "
Content Marketing,Qodex.ai,Not hiring,Work from home,6 Months," 10,000 "
HR Corporate Relations,GetReady4Job,Not hiring,Hyderabad                                                            (Hybrid),3 Months," 5,000-8,000 "
Corporate Sales,Chayam Tea,Not hiring,Kolkata,4 Months," 15,000 "
Research And Social Media,Readers Libration Private Limited,Not hiring,West,6 Months," 12,000 "
Android App Development,Kontact Services,Not hiring,Noida,3 Months," 4,000-8,000 "
Recruitment,Hexerve Solution Inc,Not hiring,Noida,1 Month," 3,000-6,000 "
Social Media Marketing,Wine Growers Association Of India,Not hiring,Work from home,3 Months," 5,000 "
3D Visualizor,Hempal Studio,Not hiring,Jaipur,6 Months," 7,000 "
Financial Markets Research,Fortress Financial Group,Not hiring,Bangalore                                                            (Hybrid),3 Months," 5,000 "
UGC (Reels) Video Creator,Regent Edu Connect,Not hiring,Work from home,6 Months," 7,000 "
Technology,Rankersgrid By Cognolabs,Not hiring,"Somajiguda, Hyderabad.",6 Months," 10,000 "
Graphic Design,Ageancy Media,Not hiring,Akurdi,3 Months," 5,000 "
Content Writing,Drishtency By BM,Not hiring,Mumbai                                                            (Hybrid),6 Months," 5,000 "
Accounting & Bookkeeping,AJH Consulting,Not hiring,Delhi,6 Months," 8,000 "
Digital Marketing,Arson,Not hiring,Work from home,6 Months," 1,000  +  Incentives"
Interior Design,Greysco,Not hiring,Work from home,5 Months," 5,000 "
Social Media Marketing,Hkmpune,Not hiring,Work from home,3 Months," 1,500 /week +  Incentives"
Interior Design,Apexverse Opc Pvt Ltd,Not hiring,Noida,2 Months," 10,000 "
Game Development,Arkham Archives,Not hiring,Work from home,2 Months," 1,500 "
E-commerce Operations,Zwag Folks Private Limited,Not hiring,Delhi,6 Months," 15,000 "
Microsoft Business Central Consultant,Zelite Solutions Pvt Ltd,Not hiring,Pune,3 Months," 10,000 "
Sports & Technology Marketing,Nimblemindz Technologies,Not hiring,Pune                                                            (Hybrid),6 Months," 5,000 "
Sales (Cold Calling),Banana Byte Software Solutions,Not hiring,Work from home,1 Month," 30,000-50,000 "
Sales,Skinkart Healthcare India,Not hiring,"Delhi, Gurgaon, Noida                                                            (Hybrid)",6 Months," 10,000  +  Incentives"
Digital Marketing,Creator Mediator,Not hiring,Mumbai,6 Months," 2,000  +  Incentives"
Telecalling,Red Otter Farms,Not hiring,Delhi,3 Months," 10,000  +  Incentives"
Cosmetic Formulator,Tilt Cosmetics,Not hiring,Bangalore                                                            (Hybrid),1 Month," 5,000-7,000 "
Human Resources (HR),Dmgiants,Not hiring,Work from home,2 Months," 1,000 lump sum +  Incentives"
Digital Marketing,AppsArmy,Not hiring,Work from home,3 Months," 6,000-7,500 "
Content Writing,Misfit Humans,Not hiring,Gurgaon                                                            (Hybrid),1 Month," 5,000 "
Editorial,BurdaLuxury,Not hiring,Mumbai,2 Months," 7,000 "
Digital Marketing,White Kaleido,Not hiring,Work from home,6 Months," 6,000-10,000 "
Pre Sales,Gemba Concepts,Not hiring,Ahmedabad,6 Months," 10,000 "
Social Work,The We Foundation,Not hiring,"Agartala, Guwahati, Kolkata, Imphal, Mumbai, Aizawl, Angul",6 Months," 5,000 "
Digital Marketing,Power Promotion,Not hiring,Work from home,3 Months," 5,000-10,000 "
Video Editor,Komal Maheshwari,Not hiring,Work from home,3 Months," 5,000-10,000 lump sum"
Marketing,Codal.in,Not hiring,"Chennai, Coimbatore, Bangalore                                                            (Hybrid)",6 Months," 4,000 "
Business Development Associate,Little Black Star Visual Effects Pvt. Ltd.,Not hiring,"Guntur, Hyderabad, Mangalagiri, Vijayawada",6 Months," 5,000  +  Incentives"
Human Resources (HR),Bigbee Experience Management Private Limited,Not hiring,Bangalore,6 Months," 5,000 "
Electrical Engineering,Roima Intelligence India Pvt Ltd,Not hiring,Ahmedabad,6 Months," 15,000 "
Social Media Marketing,SteamUp Foods,Not hiring,Bangalore,3 Months," 8,000 "
Motion Graphics,Media AI Marketing,Not hiring,Work from home,3 Months," 6,000  +  Incentives"
Business Development (Sales),EXMASS HEALTHTECH PRIVATE LIMITED,Not hiring,Work from home,3 Months," 2,000  +  Incentives"
Business Development (Sales),Franco Rugs,Not hiring,Work from home,3 Months," 1,000  +  Incentives"
Market Research,Beamstacks Technologies,Not hiring,Work from home,2 Months," 10,000 "
Brand Management,Reform Your Skin,Not hiring,Work from home,2 Months," 4,000-8,000 "
Relationship Manager,Motilal Oswal Financial Services,Not hiring,Jaipur,3 Months," 5,000  +  Incentives"
Video Editing/Making,Catalyst Media Labs Private Limited,Not hiring,Work from home,3 Months," 5,000 "
Graphic Design,Two Cents,Not hiring,"Delhi, Ghaziabad, Noida                                                            (Hybrid)",3 Months," 20,000 "
Video Editing/Making,Arunkumar Raman,Not hiring,Work from home,6 Months," 5,000-10,000 "
Talent Acquisition,Whitefield Network,Not hiring,Work from home,6 Months," 3,000 "
Full Stack Development,StepOut,Actively hiring,Work from home,6 Months," 10,000-15,000 "
Motion Graphics,Onerostech,Not hiring,Work from home,3 Months," 8,000 "
Accounting & Taxation,Senthil Kumar & Sundararajan,Not hiring,Chennai,3 Months," 25,000-30,000 "
Business Development (Sales),Flying Pigeon Solutions,Actively hiring,Work from home,2 Months," 3,000-5,000 "
Social Media Marketing,Sanjeev Singh,Not hiring,Work from home,6 Months," 5,000 "
Anchoring,Yes Property,Actively hiring,Bangalore,3 Months," 10,000 "
Business Research,Netwale,Not hiring,Work from home,3 Months," 5,000 "
Graphic Design,Tagi Studio,Not hiring,Mumbai                                                            (Hybrid),3 Months," 8,000 "
Social Media Marketing,Top One Percent,Not hiring,Work from home,2 Months," 5,000 "
Telecalling,Artem Academy,Not hiring,Hyderabad                                                            (Hybrid),1 Month," 7,000 "
Reel Editor,Budding Mariners,Actively hiring,Work from home,4 Months," 2,000 "
Graphic Design,YB One Strategic Solutions Pvt Ltd,Not hiring,Work from home,3 Months," 2,000 "
Human Resources (HR),Kishor Kalyanji Corp LLP,Not hiring,Mumbai,3 Months," 12,000 "
Android App Development,ADM EDUCATION & WELFARE SOCIETY,Actively hiring,Work from home,3 Months,Unpaid
Python Development,APSV TECHNOLOGIES,Actively hiring,Work from home,1 Month," 1,000 "
Machine Learning,APSV TECHNOLOGIES,Actively hiring,Work from home,1 Month," 1,000 "
Java Development,APSV TECHNOLOGIES,Actively hiring,Work from home,1 Month," 1,000 "
Cyber Security,APSV TECHNOLOGIES,Actively hiring,Work from home,1 Month," 1,000 "
Social Media Manager,Ktex Overseas Private Limited,Not hiring,Delhi                                                            (Hybrid),3 Months," 5,000 "
Influencer Marketing,Dollarpe Technologies Private Limited,Not hiring,Work from home,2 Months," 1,000  +  Incentives"
Script Writer,Masquerade Pictures Pvt Ltd,Not hiring,Noida,3 Months," 10,000-30,000 "
Business Development (Sales),The Orange Bulletin,Not hiring,Work from home,3 Months," 4,000  +  Incentives"
Content Writing,BrightChamps Tech Private Limited,Not hiring,Bangalore,6 Months," 15,000 "
Social Media Marketing,Niswarth – The Selfless,Not hiring,Work from home,6 Months,Unpaid
Social Media Marketing,BAMC,Not hiring,Work from home,2 Months," 3,000  +  Incentives"
Accounting & Taxation,KATRE BARWE & ASSOCIATES,Not hiring,Mumbai,6 Months," 7,500 "
Business Development (Sales),EGuruZy Learning Shortcuts Private Limited,Not hiring,Work from home,3 Months," 15,000-25,000 "
YouTube Anchor,Manoj Sharma,Not hiring,Work from home,3 Months," 5,000 "
Tele Sales Associate,EGuruZy Learning Shortcuts Private Limited,Not hiring,Work from home,3 Months," 15,000-25,000 "
Video Editing/Making,GeekyAnts,Not hiring,Work from home,6 Months," 5,000-10,000 "
Education Counsellor (Tele Sales),EGuruZy Learning Shortcuts Private Limited,Not hiring,Work from home,3 Months," 15,000-25,000 "
Business Development (Sales),Stanza Living,Not hiring,Bangalore,2 Months," 20,000 "
Social Media Marketing,Alvaro Soft Private Limited,Not hiring,Pune                                                            (Hybrid),3 Months," 3,500 "
Office Coordinator,Wehire Talent Solutions,Actively hiring,Mumbai,3 Months," 12,000 "
Digital Marketing,Smart Suburbs,Not hiring,"Pune, Pimpri-Chinchwad",4 Months," 6,000 "
Lead Generation,Musemate.co,Not hiring,Work from home,3 Months," 6,000  +  Incentives"
Information Technology,TMS Foundation (IndiaYouth.info),Not hiring,Work from home,6 Months,Unpaid
Personal Secretary,Wehire Talent Solutions,Actively hiring,Mumbai,3 Months," 8,000 "
Office Assistant,Wehire Talent Solutions,Actively hiring,Mumbai,3 Months," 10,000 "
Customer Service/Customer Support,Helper4U Services LLP,Actively hiring,Work from home,6 Months," 10,000 "
Law/Legal,VIVEK SHEEL,Not hiring,Delhi,1 Month,Unpaid
Field Sales,AVSAR SOLAR,Not hiring,Dehradun,3 Months," 5,000-12,000 "
Business Development (Sales),LevelApp,Not hiring,Hyderabad,3 Months," 5,000  +  Incentives"
Business Development (Sales),Meetooshop,Not hiring,Work from home,3 Months," 3,000 "
Digital Marketing,AdsReverb,Not hiring,Bangalore,6 Months," 15,000 "
Business Development (Sales),Science Genie,Not hiring,Delhi                                                            (Hybrid),3 Months," 3,000-5,000 "
Graphic Design,Kasar Devi Wellness Private Limited,Not hiring,Work from home,1 Month," 1,000 "
